trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
81 active 0 nan nan nan 0.3551787776738269 -0.05196167332485344 -0.0016885894634469656 -0.09087690407528354 0.0935911257142984 nan nan 1626982587.8207335
82 active 0 -30.0 nan nan 0.3473585123034749 -0.048832908541438735 -0.0038559207744864876 -0.09650290926837772 0.07415759272444788 nan nan 1626982594.1561716
83 active 0 -30.0 nan nan 0.30675675751326614 -0.05861394076517818 0.011766288957745119 -0.09291869447618487 0.07144153052253588 nan nan 1626982600.2377584
84 active 0 -30.0 nan nan 0.3192039290216998 -0.05992013639511873 0.004007920878353555 -0.09834926079202784 0.07500119205647726 nan nan 1626982606.4679716
85 active 0 -30.0 nan nan 0.3398646142238002 -0.04917991001130047 -0.0005398313080181572 -0.10009639055114507 0.07676625576222385 nan nan 1626982612.6978903
86 active 0 -30.0 nan nan 0.34696233868923415 -0.05047199384658423 0.0052539343025963525 -0.09765960605756967 0.07201112662117393 nan nan 1626982618.8037255
87 active 0 nan nan nan 0.35870605948769585 -0.0619586900690945 0.01536030588239945 -0.09056833162763664 0.08195903147753225 nan nan 1626982624.9675024
88 active 0 -30.0 nan nan 0.3343946126368714 -0.058992392206885125 0.0054408735818032294 -0.09565171528441299 0.07518322023482138 nan nan 1626982631.0465267
89 active 0 -30.0 nan nan 0.2842563320916543 -0.05433445533706189 0.00722225982001834 -0.09605559706071519 0.07343189654285776 nan nan 1626982637.4199355
90 active 0 -30.0 nan nan 0.3122106087062817 -0.056025813655628365 0.008844529153181568 -0.09249426700293219 0.06471817221879583 nan nan 1626982643.660864
91 active 0 nan nan nan 0.39272884320341106 -0.06317304629821865 0.014718137782460894 -0.10363131312181863 0.082173185172279 nan nan 1626982650.070154
92 active 0 -30.0 nan nan 0.3644491507332781 -0.054951902800975484 0.016775556291972582 -0.10489014265886727 0.08575404118436691 nan nan 1626982656.2708287
93 active 0 -30.0 nan nan 0.34305737498169286 -0.06309102617482205 0.01029098896197611 -0.09727491359110764 0.07033416024738293 nan nan 1626982662.6250067
94 active 0 -30.0 nan nan 0.3275795602223329 -0.05247397605047495 0.003405527499112937 -0.09820364369927671 0.07780745963331215 nan nan 1626982668.875965
95 active 0 nan nan nan 0.3440502402749587 -0.06120280279961512 0.016927327654895574 -0.10258758923768507 0.08557929864381142 nan nan 1626982675.0891304
96 active 0 -30.0 nan nan 0.31832274959171974 -0.05814880033448681 0.011820430513760583 -0.09772931216378344 0.07696467636153881 nan nan 1626982681.4442682
